colony,head_width,source
17-36,1448.32,colony
17-36,1291.95,colony
17-36,1118.39,colony
17-36,1296.83,colony
17-36,1369.12,colony
17-36,1234.62,colony
17-36,1456.1,colony
17-36,1177.74,colony
17-36,1434.27,colony
17-36,1222.26,colony
17-36,1226.16,colony
17-36,1246.62,colony
17-36,1211.73,colony
17-36,1323.74,colony
17-36,1362.29,colony
17-36,1390.48,colony
17-36,1315.86,colony
17-36,1233.88,colony
17-36,1276.45,colony
17-36,1416.17,colony
17-36,1316.2,colony
17-36,1404.65,colony
17-36,1381.88,colony
17-36,1240.55,colony
17-36,1288.33,colony
17-36,1270.11,colony
17-36,1212.69,colony
17-36,1293.22,colony
17-36,1323.22,colony
17-36,1281.87,colony
17-36,1207.35,colony
17-36,1296.46,colony
17-36,1100.77,colony
17-36,1306.29,colony
17-36,1222.78,colony
17-36,1278.26,colony
17-36,1381.88,colony
17-36,1270.39,colony
17-36,1293.09,colony
17-36,1203.57,colony
17-36,1196.06,colony
17-36,1061.25,colony
17-36,1162.89,colony
17-36,1148.92,colony
17-36,1075.84,colony
17-36,1328.29,colony
17-36,1421.77,colony
17-36,1332.6,colony
17-36,1142.53,colony
17-36,1303.88,colony
17-36,1239.88,colony
17-36,1184.62,colony
17-36,1345.35,colony
17-36,1225.6,colony
17-36,1298.62,colony
17-36,1375.59,colony
17-36,1284.46,colony
17-36,1281.17,colony
17-38,1518.4,colony
17-38,1480.35,colony
17-38,1439.4,colony
17-38,1463.91,colony
17-38,1307.74,colony
17-38,1258.88,colony
17-38,1275.94,colony
17-38,1207.09,colony
17-38,1242.47,colony
17-38,1320.34,colony
17-38,1070.26,colony
17-38,1115.19,colony
17-38,1131.5,colony
17-38,1123.96,colony
17-38,1473.77,colony
17-38,1290.39,colony
17-38,1398.07,colony
17-38,1456,colony
17-38,1442.06,colony
17-38,1479.69,colony
17-38,1435.16,colony
17-38,1419.19,colony
17-38,1356.2,colony
17-38,1257.57,colony
17-38,1352.93,colony
17-38,1305.62,colony
17-38,1387.03,colony
17-38,1158.61,colony
17-38,1356.47,colony
17-38,1386.8,colony
17-38,1305.1,colony
17-38,1352.86,colony
17-38,1600.09,colony
17-38,1285.05,colony
17-38,1380.61,colony
17-38,1355.01,colony
17-38,1252.97,colony
17-38,1243.71,colony
17-38,1281.48,colony
17-38,1415.47,colony
17-38,1244.32,colony
17-38,1663.81,colony
17-38,1589.19,colony
17-38,1576.37,colony
17-38,1470.07,colony
17-38,1297.19,colony
17-38,1193.19,colony
17-38,1314.52,colony
17-38,1504.62,colony
17-38,1220.88,colony
17-38,1435,colony
17-38,1265.84,colony
17-38,1293.13,colony
17-38,1379.55,colony
17-38,1182.45,colony
17-38,1256.59,colony
17-38,1335.1,colony
17-38,1419.2,colony
17-38,1192.52,colony
17-38,1425.01,colony
17-38,1199.42,colony
17-38,1357.72,colony
17-38,1523.18,colony
17-38,1363.73,colony
17-38,1479.17,colony
17-38,1479.32,colony
17-38,1499.82,colony
17-35,1074,foragers
17-35,1017,foragers
17-35,1151,foragers
17-35,1175,foragers
17-35,1063,foragers
17-35,1061,foragers
17-35,1062,foragers
17-35,1080,foragers
17-35,1101,foragers
17-35,1128,foragers
17-35,1188,foragers
17-35,1196,foragers
17-35,1121,foragers
17-35,1108,foragers
17-35,1142,foragers
17-35,1317,foragers
17-35,1366,foragers
17-35,1224,foragers
17-35,1352,foragers
17-16,1160,foragers
17-16,1260,foragers
17-16,1406,foragers
17-16,1348,foragers
17-16,1326,foragers
17-16,1213,foragers
17-16,1266,foragers
17-16,1338,foragers
17-16,1314,foragers
17-16,1411,foragers
17-16,1329,foragers
17-16,1310,foragers
17-16,1429,foragers
17-16,1322,foragers
17-16,1088,foragers
17-16,1306,foragers
17-16,1295,foragers
17-16,1235,foragers
17-16,1360,foragers
17-16,1140,foragers
17-16,1284,foragers
17-16,1374,foragers
17-16,1019,foragers
17-16,1526,foragers
17-16,1172,foragers
17-16,1342,foragers
17-16,1431,foragers
17-16,1215,foragers
17-16,1466,foragers
17-16,1363,foragers
17-16,1368,foragers
17-16,1366,foragers
17-16,1368,foragers
17-16,1352,foragers
17-4,1125,foragers
17-4,1080,foragers
17-4,1064,foragers
17-4,1046,foragers
17-4,1228,foragers
17-4,1221,foragers
17-4,1118,foragers
17-4,999,foragers
17-4,1253,foragers
17-4,1156,foragers
17-4,1139,foragers
17-4,1134,foragers
17-4,1131,foragers
17-4,1089,foragers
17-4,1092,foragers
17-4,1327,foragers
17-4,1183,foragers
17-4,1079,foragers
17-4,1117,foragers
17-4,1053,foragers
17-4,1209,foragers
17-4,1302,foragers
17-4,1090,foragers
17-4,999,foragers
17-4,1219,foragers
17-4,1124,foragers
17-4,1301,foragers
17-4,1098,foragers
17-4,1069,foragers
17-4,1177,foragers
17-4,1142,foragers
17-4,1032,foragers
17-4,1069,foragers
17-4,1223,foragers
17-4,1316,foragers
17-32,1142,foragers
17-32,1097,foragers
17-32,1100,foragers
17-32,1015,foragers
17-32,1098,foragers
17-32,1028,foragers
17-32,1134,foragers
17-32,1064,foragers
17-32,1068,foragers
17-32,1117,foragers
17-32,1128,foragers
17-32,1121,foragers
17-32,1132,foragers
17-32,1343,foragers
17-32,1156,foragers
17-32,1157,foragers
17-16,1282,foragers
17-16,1445,foragers
17-16,1374,foragers
17-16,1143,foragers
17-16,1389,foragers
17-16,1358,foragers
17-16,1293,foragers
17-16,1351,foragers
17-16,1158,foragers
17-16,1349,foragers
17-16,1299,foragers
17-16,1283,foragers
17-16,1242,foragers
17-16,1228,foragers
17-16,1409,foragers
17-16,1359,foragers
17-16,1200,foragers
17-16,1142,foragers
17-16,1371,foragers
17-16,1367,foragers
17-16,1336,foragers
17-16,1284,foragers
17-16,1297,foragers
17-16,1419,foragers
17-16,1030,foragers
17-16,1085,foragers
17-16,1350,foragers
17-16,1344,foragers
17-16,1335,foragers
17-16,1546,foragers
17-16,1371,foragers
17-16,1224,foragers
17-16,1445,foragers
17-16,1259,foragers
17-16,1356,foragers
17-24,1297,foragers
17-24,1349,foragers
17-24,1303,foragers
17-24,1481,foragers
17-24,1423,foragers
17-24,1276,foragers
17-24,1245,foragers
17-24,1366,foragers
17-24,1179,foragers
17-24,1225,foragers
17-24,1258,foragers
17-24,1424,foragers
17-24,1139,foragers
17-24,1297,foragers
17-24,1352,foragers
17-24,1268,foragers
17-24,1283,foragers
17-24,1362,foragers
17-24,1399,foragers
17-24,1304,foragers
